AccountHistoryTypeID,Name,Descr
210,CE Online Store Credit,CE - Online Store Credit
211,CE Online Store Debit,CE - Online Store Debit
212,CE Online Store Research,CF - CE Online Store Research Required to Resolve
213,Maritz Goodwill Adjustment,Goodwill Adjustment
214,Rec'd E-mail from SM,Rec'd E-mail from SM
215,Re-Issue SCENE Card - Address Error,Re-Issue SCENE Card - Address Error
220,SCENE Escalation,SCENE Escalation
222,CE Negative Points Adjustment,CE - Negative Points Adjustment
223,Re-Issue SCENE Card - Not Recieved,Re-Issue SCENE Card - Not Received
225,Re-Issue SCENE Card - Lost/Stolen,Re-Issue SCENE Card - Lost/Stolen
226,BNS – Telemarketing Opt Out,BNS – Telemarketing Opt Out
228,SCENE Escalations - Music Store,SCENE Escalations - Music Store
229,Returned Mail,Returned Mail
230,ConfirmAddressConfirmed,ConfirmAddressConfirmed
231,ConfirmAddressUpdated,ConfirmAddressUpdated
232,ConfirmAddressRequested,ConfirmAddressRequested
233,BNS Promotion Bonus,BNS Promotion Bonus
234,Sirius Escalation,Sirius Escalation
235,CF - Milestones,CF - Milestones
236,CARA - Head Office Escalation,CARA - Head Office Escalation
237,CARA - Points Adjustment,CARA - Points Adjustment (POS Error)
238,CARA Customer Experience,CARA Customer Experience Complaint
239,CARA Other,CARA Other (notes in comments)
240,CARA Promotions,CARA Promotions
241,Call Back to CardMember ,Call Back to CardMember (CST Use Only)
242,Z- Auto-Enroll - TM: First Attempt/Invalid Number,Z- Auto-Enroll - TM: First Attempt/Invalid Number
243,Z- Auto-Enroll - TM: First Attempt/No Answer,Z- Auto-Enroll - TM: First Attempt/No Answer
244,Z- Auto-Enroll - TM: Right Phone #/Unavailable,Z- Auto-Enroll - TM: Right Phone #/Unavailable
245,Z- Auto-Enroll - TM: Reachable Later,Z- Auto-Enroll - TM: Reachable Later
246,Z- Auto-Enroll - TM: Unreachable,Z- Auto-Enroll - TM: Unreachable
247,Z- Auto-Enroll - TM: Wrong Number,Z- Auto-Enroll - TM: Wrong Number
248,Z- Auto-Enroll - TM: Does not speak English/French,Z- Auto-Enroll - TM: Does not speak English/French
253,Z- Auto-Enroll - TM: Email Updated,Z- Auto-Enroll - TM: Email Updated
254,Z- Auto-Enroll - TM: Email not provided/Privacy,Z- Auto-Enroll - TM: Email not provided/Privacy
256,Z-TM: Email not provided/Busy/Call back later,Z- Auto-Enroll - TM: Email not provided/Busy/Call back later
257,Z-TM: Email not provided/Will update online later,Z- Auto-Enroll - TM: Email not provided/Will update online later
259,Z-TM: Email not provided/Opt out of TM campaigns,Z- Auto-Enroll - TM: Email not provided/Opt out of Outbound TM campaigns
261,Z-TM: Email not provided/not English/French,Z- Auto-Enroll - TM: Email not provided/Does not speak English/French
264,Z-TM: Email not provided/not have email address,Z- Auto-Enroll - TM: Email not provided/Does not have an email address
265,Z-TM: Email not provided/Does not remember,Z- Auto-Enroll - TM: Email not provided/Does not remember
266,Z-TM: Email not provided/Hang up/Disconnect,Z- Auto-Enroll - TM: Email not provided/Hang up/Disconnect
267,Z-TM: First Attempt/Received Voicemail,Z- Auto-Enroll - TM: First Attempt/Received Voicemail
268,Z- Auto-Enroll - TM: Callback Promo: Email Updated,Z- Auto-Enroll - TM: Callback Promo: Email Updated
269,FC - Points Expiry Escal,FC - Points Expiry Escalation
270,Points Expiry Inquiry,Points Expiry Inquiry
271,CF - Points Expiry Escal,CF - Points Expiry Escalation
272,MobileSubscribed,Mobile Subscriptions
273,MobileUnsubscribed,Mobile Unsubscriptions
274,MobileNotVerified,Mobile Not Verified
275,BNS Other - Campaign,BNS Other - Campaign Points
276,Mazda Promotions,Mazda Promotions
277,Adidas Promotion,Adidas Promotion
278,Universal Promotion,Universal Promotion
279,2nd Issue Callback,2nd Issue Callback
280,ExpiredPoints,Expired Points
281,ReverseExpiredPoints,Reverse Expired Points
282,SetActiveExpiredPoints,Set Active Expired Points
283,Visa 2000 Additional Bonus,Visa 2000 Additional Bonus
284,OBTM - MOVIE LOVERS WINN,OBTM - MOVIE LOVERS WINNER- SM unavailable
285,OBTM - MOVIE LOVERS WINN,OBTM - MOVIE LOVERS WINNER - SM available
286,SCENE Pizza Pizza and Pizza73 Promo,SCENE Pizza Pizza and Pizza73 Promo
287,SCENE - TELUS Promotion,SCENE - TELUS Promotion
