AccountHistoryTypeID,Name,Descr
406,Mobile Unreachable,Unsubscribed SMS Subscription - mobile phone unreachable
407,Top-Up Promotion,Top-Up Promotion Adjustment
408,Sport Chek – Fitbit Promotion 2015,Sport Chek – Fitbit Promotion 2015
409,BNS - Hockey,BNS - Hockey
410,BOND Employee Referral,BOND Employee Referral
411,Sport Chek – Adidas Promotion 2015,Sport Chek – Adidas Promotion 2015
412,Telus Prepaid Promotion,Telus Prepaid Promotion
413,CARA - Montana's - Points Adjustment,CARA - Montana - Points Adjustment
414,CARA - Montana's - Promotion Bonus,CARA - Montana - Promotion Bonus
415,CARA - Montana's - Other,CARA - Montanas - Other (Notes in Comments)
416,CARA - Montana's - technical issues,CARA - Montanas - technical issues
417,CARA - Prime Pubs - Points Adjustment,CARA - Prime Pubs - Points Adjustment
418,CARA - Prime Pubs - Promotion Bonus,CARA - Prime Pubs - Promotion Bonus
419,CARA - Prime Pubs - Other,CARA - Prime Pubs - Other (Notes in Comments)
420,CARA - Prime Pubs - technical issues,CARA - Prime Pubs - technical issues
421,CARA - Swiss Chalet - Points Adjustment,CARA - Swiss Chalet - Points Adjustment
422,CARA - Swiss Chalet - Promotion Bonus,CARA - Swiss Chalet - Promotion Bonus
423,CARA - Swiss Chalet - Other,CARA - Swiss Chalet - Other (Notes in Comments)
424,CARA - Swiss Chalet - technical issues,CARA - Swiss Chalet - technical issues
425,CARA - Milestones - Points Adjustment,CARA - Milestones - Points Adjustment
426,CARA - Milestones - Promotion Bonus,CARA - Milestones - Promotion Bonus
427,CARA - Milestones - Other,CARA - Milestones - Other (Notes in Comments)
428,CARA - Milestones - technical issues,CARA - Milestones - technical issues
429,CARA - Bier Markt - Points Adjustment,CARA - Bier Markt - Points Adjustment
430,CARA - Bier Markt - Promotion Bonus,CARA - Bier Markt - Promotion Bonus
431,CARA - Bier Markt - Other,CARA - Bier Markt - Other (Notes in Comments)
432,CARA - Bier Markt - technical issues,CARA - Bier Markt - technical issues
433,CARA - East Side Mario's - Points Adjustment,CARA - East Side Mario's - Points Adjustment
434,CARA - East Side Mario's - Promotion Bonus,CARA - East Side Mario's - Promotion Bonus
435,CARA - East Side Mario's - Other,CARA - East Side Mario's - Other (Notes in Comments)
436,CARA - East Side Mario's - technical issues,CARA - East Side Mario's - technical issues
437,CARA - Harvey's - Points Adjustment,CARA - Harvey's - Points Adjustment
438,CARA - Harvey's - Promotion Bonus,CARA - Harvey's - Promotion Bonus
439,CARA - Harvey's - Other,CARA - Harvey's - Other (Notes in Comments)
440,CARA - Harvey's - technical issues,CARA - Harvey's - technical issues
441,CARA - Kelsey's - Points Adjustment,CARA - Kelsey's - Points Adjustment
442,CARA - Kelsey's - Promotion Bonus,CARA - Kelsey's - Promotion Bonus
443,CARA - Kelsey's - Other,CARA - Kelsey's - Other (Notes in Comments)
444,CARA - Kelsey's - technical issues,CARA - Kelsey's - technical issues
445,Toys R Us 2015 Promotion,Toys R Us 2015 Promotion
446,BC Education Promo 2015,BC Education Promo 2015
447,Email Update Prompted,Members Prompted for Email Update.
448,Promotion Marketable Update,Promotion Marketable Update
449,PIN Promotion Email Update,Updated member email through PIN Promo confirmation
450,PIN Promotion Marketable Update,Updated member marketability status through PIN Promo confirmation
451,Scratch-N-Match Game 2015,Scratch-N-Match Game 2015
452,BNS - Hockey Two,BNS - Hockey Two
453,Sport Chek – TaylorMade Golf Promotion 2015,Sport Chek – TaylorMade Golf Promotion 2015
454,Automated Dormant Status Update from Point Transac,Automated Dormant Status Update from Point Transaction Activity
455,Automated Dormant Status Update from Concession 10,Automated Dormant Status Update from Concession 10% Off Activity
456,Automated Dormant Status Update from BNS Linking A,Automated Dormant Status Update from BNS Linking Activity
458,Lead Gen Survey,Lead Gen Survey
459,Sport Chek GTA Promotion,Sport Chek GTA Promotion
460,Member Dormant Status Reactivation Due to BC Activ,Member Dormant Status Reactivation Due to BC Activity
461,"TELUS 5,000 Promotion July 2015","TELUS 5,000 Promotion July 2015"
462,Sport Chek GTA Promotion applied,Sport Chek GTA Promotion applied
463,Marks 2015 August Promotion,Marks 2015 August Promotion Adjustment
464,Sport Chek – Bauer Hockey Promotion 2015,Sport Chek – Bauer Hockey Promotion 2015 Adjustment
465,Visa 3000 Additional Bonus,Visa 3000 Additional Bonus
466,Earn & Burn General Inquiries,Earn & Burn General Inquiries
467,Earn & Burn Escalation OR Complaints,Earn & Burn Escalation OR Complaints
468,Earn & Burn Exceptions,Earn & Burn Exceptions
469,Offer Acknowledged,"Member clicks the Ok, got it button"
470,Offer Learned More,Member clicks the Learn More button
471,Sport Chek Alberta Promotion applied,Sport Chek Alberta Promotion applied
472,Sport Chek Alberta Promotion,Sport Chek Alberta Promotion
473,L’Equipeur Aout 2015 Promotion,L’Equipeur Aout 2015 Promotion
474,Marks Online August 2015 Promotion,Marks Online August 2015 Promotion
475,Sport Chek Kids Promotion,Sport Chek Kids Promotion
476,CARA Launch Promotions,CARA Launch Promotions
477,CARA Head Office Escalate,CARA Head Office Escalate
478,CARA Points Adjustment POS,CARA Points Adjustment POS
479,CARA Other,CARA Other
480,CARA Promotions,CARA Promotions
481,Sport Chek September 2015 Under Armour Promotion,Sport Chek September 2015 Under Armour Promotion
