Unique_member_identifier,Points,Adjustments,POSCineplex,POS,AccountOpenD2D,PacPadD2D,VISACineplex,VISA,VISAAccountOpen,CineplexIssue,CineplexRedeem,AdjustmentBNS,AdjustmentMaritz,AdjustmentCineplex,PointsScene,PointsCatalogOrders,CARAIssue,CARARedeem,AdjustmentCARA,BNSOther,AdjustmentBNSOther,VISAPrePaid,PointsTotal
57F512F5-57E7-4E1F-8455-243A49CAA594,3564,0,4,6,0,0,0,554,2000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0
2C1CC80B-BC74-4C29-AE47-9D31BC1A701E,86,0,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016A42A-9215-4D6E-8D1E-19F66F5DF44D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E59DA589-B984-4478-B0C0-D94FDF6F58FE,350,0,0,0,0,0,0,0,0,100,0,0,0,0,250,0,0,0,0,0,0,0,0
56F83921-3289-4F6C-9767-B54A34733D17,2887,0,6,381,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1317043-1649-402C-AB81-FB654F98D1DB,1865,0,0,0,0,0,0,0,0,5158,-4000,0,0,0,707,0,0,0,0,0,0,0,0
E89AB852-894E-4688-82F7-079F2C4407EE,1194,319,0,0,0,0,0,0,0,450,0,0,319,0,744,0,0,0,0,0,0,0,0
27B9D805-6BC5-4F62-AB56-39A7734A0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6EB986FC-1341-4AE1-96C2-3FA78C5D5E57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAB05270-3A2E-45E4-A92F-FA028DAC8C81,1877,0,0,0,0,0,0,0,0,1110,0,0,0,0,311,0,456,0,0,0,0,0,0
3E773D93-FD79-4025-BA37-78F95C3AEDD9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBB9541A-3DFD-4D9D-85DB-82D919A8B611,505,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0,0
28123A7E-DD01-459F-A022-2A1CA890B8B0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CADDB0E-95C5-442B-9EA2-788D44290899,1150,0,0,0,0,0,0,0,0,650,0,0,0,0,500,0,0,0,0,0,0,0,0
983473FE-770A-4E77-B390-29C17410F23F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BBDA39D-2330-49B2-A407-06643954EFC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE833EC9-EF59-4896-BD31-3656CF74BAF2,700,0,0,0,0,0,0,0,0,200,0,0,0,0,500,0,0,0,0,0,0,0,0
C2B79E78-A152-4B2E-ABA1-4F3AE68069DB,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C45693E8-C3EC-4DCC-8F6D-44FF4B4C8455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5AC7AA4-81DA-4F46-83B9-EEC80A602C9F,350,0,0,0,0,0,0,0,0,100,0,0,0,0,250,0,0,0,0,0,0,0,0
7CCC67BE-F23D-4F24-A0FD-96D658E8AE81,1141,0,233,503,0,5000,0,0,0,475,-3500,0,0,0,1420,0,10,-3000,0,0,0,0,0
2DFD87C1-046F-46C5-BAAD-68ED0451838B,1451,0,0,0,0,0,0,0,0,940,0,0,0,0,511,0,0,0,0,0,0,0,0
5E2BDF5F-FEFE-4D81-8808-364CAB30267D,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5579503-1C43-4895-8C6C-15856A2EAB94,1385,0,0,0,0,0,0,0,0,1135,0,0,0,0,250,0,0,0,0,0,0,0,0
BBC0252C-2FC0-425D-A3D9-57583510CF4F,500,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0
92154952-8CE3-40EA-993B-A9FF00211810,1386,0,127,1220,0,5000,45,5363,2000,760,-21500,0,0,0,371,0,0,0,0,8000,0,0,0
57E72B0C-641E-427B-91B9-120E9957C605,4784,0,18,36,0,5000,0,7479,2000,0,0,0,0,0,-6750,0,1,-3000,0,0,0,0,0
5A040F20-B63A-419C-A26E-74558E3A61F3,222,0,28,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3BFEC705-6C64-4126-A5FD-84F1C5BBD66B,3823,0,0,0,0,0,0,1823,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7E28CF03-7A23-49D4-B28B-6CBD93B6CDE0,250,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0
C7C38437-BF54-4E52-BFE5-8FBB979A8F8D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977AB19A-028B-41B3-993E-F6CA50B53129,1558,0,0,0,0,0,0,0,0,427,0,0,0,0,1131,0,0,0,0,0,0,0,0
76183584-6662-475E-90CD-2CB7F9B665A9,5802,0,2,499,0,0,0,1951,2000,0,0,0,0,0,350,0,0,0,0,1000,0,0,0
6832B8FB-FBBE-47E3-A9F0-856204BA05A0,5064,0,22,42,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57408612-257F-4566-AAC2-2C4928C2B5C0,970,0,0,0,0,0,0,0,0,720,0,0,0,0,250,0,0,0,0,0,0,0,0
0FEFC9CB-4778-4D92-86D0-E9506AB9EE62,400,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0
D8642C15-84C2-44F5-B57A-B5BFA871C817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01035DAA-32BD-44B3-82D9-16BB276092C3,400,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0
569D2198-3FD6-4C31-9E46-6B4D735034D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA002D8A-3507-4D88-A098-D5F3B29994C5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE23E93E-0686-446C-9D93-4CEA3DB800D0,605,0,0,0,0,0,0,0,0,1355,-1000,0,0,0,250,0,0,0,0,0,0,0,0
E7DE6728-3272-4ECC-8B9C-D0DE6D628FEE,370,0,0,0,0,0,0,0,0,120,0,0,0,0,250,0,0,0,0,0,0,0,0
AF010EEF-01E5-45A3-A238-19DA760CA399,450,0,0,0,0,0,0,0,0,200,0,0,0,0,250,0,0,0,0,0,0,0,0
825AB87C-E2F7-4133-8707-4FD7244FC9DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2427A4BF-D6B1-43D8-A32E-64D648E4F3C7,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F8B85AD6-A028-49E6-8302-D6F18126C291,608,0,0,0,0,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0
AF69F059-3DC3-4995-BEFC-22E3A044AC15,12397,0,60,750,0,0,0,14587,2000,0,-6000,0,0,0,0,0,0,0,0,1000,0,0,0
CFC0778C-2341-45A1-AB38-A22E14BB4A66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA2BBC6D-E72F-4F57-8976-E8A7F9F6E780,1468,0,0,0,0,0,0,0,0,1468,0,0,0,0,0,0,0,0,0,0,0,0,0
74DCBF3B-09FC-45A3-A6E9-BCA7796DA933,357,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0
8BE0649D-E49E-4519-AB87-AFC7CA5BA427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9D1B1DAA-52A0-469D-B952-71554C8CA01C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C7AC15A1-D7A5-4572-8C66-B0A1453CD91A,524,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0
96EF4258-17D5-4B6A-B8A6-49B8E92B065F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC0620F5-9E2A-4452-98EF-C674864ABD96,800,0,0,0,0,0,0,0,0,550,0,0,0,0,250,0,0,0,0,0,0,0,0
BBA41094-E46D-4652-B42E-A7E650FE43FF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75F76A88-3565-4F55-B6DB-7D0CE0015D60,1250,0,0,0,0,0,0,0,0,1000,0,0,0,0,250,0,0,0,0,0,0,0,0
F016D08D-307F-4C2F-8BDC-A6A4B97FB7DA,320,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,70,0,0,0,0,0,0
5CB03A3A-42CE-444D-A159-F317EE51DDF9,282,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0
84A80FA4-14D1-4251-835B-B3B75F1C3277,1637,0,0,0,0,0,0,0,0,2249,-1000,0,0,0,388,0,0,0,0,0,0,0,0
94E47F17-8E1B-437B-83E3-CD8EADC84A4C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64A7E474-9AB8-47BF-8B4D-C41564345E1F,1392,0,236,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D6748C6B-915B-425E-8150-D5392574D13F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2C873C79-6E1C-45F6-8CF1-F363169705F4,175,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0
261F4679-C790-424C-AA16-DD9AA3B2A89F,599,0,0,0,0,0,0,0,0,270,0,0,0,0,320,0,9,0,0,0,0,0,0
1715B846-9D42-43D3-9361-F4CF5AF61C57,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0
9DDBFD41-3E98-459A-8465-D32546F7DF64,2336,0,0,0,0,0,0,0,0,1879,0,0,0,0,457,0,0,0,0,0,0,0,0
2E2976DE-AF0B-413E-A630-011F9EA2CF84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8B1208F1-BF37-4B41-8BE2-971DB72D4F9E,2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2217,0
D9626BB1-7C4F-4A16-87C7-7F1EAB669F69,475,0,0,0,0,0,0,0,0,225,0,0,0,0,250,0,0,0,0,0,0,0,0
DBBFC3DF-D7F3-4A42-9F42-4895598D860D,690,0,0,0,0,0,0,0,0,440,0,0,0,0,250,0,0,0,0,0,0,0,0
E7CF6A8A-039E-4700-939B-0A3275215821,640,0,0,0,0,0,0,0,0,390,0,0,0,0,250,0,0,0,0,0,0,0,0
F755464C-F2C9-43D8-AD35-F8196522CF97,385,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0
DFBE0621-33C5-43CB-8E86-C2EB676A44F0,509,0,0,0,0,0,0,0,0,250,-1000,0,0,0,1244,0,15,0,0,0,0,0,0
F44431D5-0DF9-4334-BD6D-183AA509DF86,500,0,0,0,0,0,0,0,0,250,0,0,0,0,250,0,0,0,0,0,0,0,0
E12C4D69-6F41-495F-8C73-1F709FDACEA6,1958,0,0,0,0,0,0,0,0,1433,-1500,0,0,0,2013,0,12,0,0,0,0,0,0
B26F752C-1B27-499C-808C-3DE5103F9ABE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39618F45-E4C5-420B-A69B-9FA2BE84D780,1536,0,0,0,0,0,0,0,0,1091,0,0,0,0,409,0,36,0,0,0,0,0,0
47A761A2-7BC0-4508-8C37-7097FC9B2276,356,0,0,0,0,0,0,0,0,1227,-2000,0,0,0,1073,0,56,0,0,0,0,0,0
0C879ABC-1AAB-4722-BCC8-DDC42A5BB9CF,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,0,121,0,0,0,0,0,0
19052405-042A-48EA-A8C1-32EDF7DB34A7,1355,0,0,0,0,0,0,0,0,1105,0,0,0,0,250,0,0,0,0,0,0,0,0
2F34AEC4-A993-48C7-B145-EB02CDDB5E49,1064,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0
6EF98088-5B79-4F98-9011-BB15C939760C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2B45679-22AE-4D96-8DD6-9442DD179294,450,0,0,0,0,0,0,0,0,200,0,0,0,0,250,0,0,0,0,0,0,0,0
F1888468-6FE5-46C4-A71E-9004DD5CBDCC,5890,0,99,319,0,0,0,2472,2000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0
90C516DB-9C3A-403D-8735-1913C0E80F7D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288D30BD-D9BF-4828-852F-BD465931F90A,710,0,0,0,0,0,0,0,0,460,0,0,0,0,250,0,0,0,0,0,0,0,0
25DE13D2-50DD-449D-B964-2E40BFFE9AF3,292,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0
0B2080D7-E137-4070-ACC4-DE8CA98F005B,450,0,0,0,0,0,0,0,0,200,0,0,0,0,250,0,0,0,0,0,0,0,0
3887FBE1-188C-46EE-B8E4-B39284DBB10C,1672,0,0,0,0,0,0,0,0,1422,0,0,0,0,250,0,0,0,0,0,0,0,0
0A60899E-C74F-49A8-9A08-7F785CA6A1F2,650,0,0,0,0,0,0,0,0,400,0,0,0,0,250,0,0,0,0,0,0,0,0
26E66A83-C4E5-4D34-AE81-37F4122B9916,990,0,0,0,0,0,0,0,0,740,0,0,0,0,250,0,0,0,0,0,0,0,0
C9D58D27-A5F8-48CA-9A6E-0F2DBDF66C0C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
